,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),CB CD34+,Dendritic cell,Erythroid cell,Erythroid progenitor cell (RP high),Macrophage,Monocyte,Neutrophil,Neutrophil (RPS high),T cell
RNASE2,2.9004393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2973788,0.0,0.0
ATP5PB,0.0,0.0,0.0,0.0,0.0,0.0,2.0664263,0.0,0.0,0.0,0.0,0.0
EIF1,2.9574163,2.9037163,2.886752,2.4209378,2.800687,3.0072045,2.7242525,3.4558854,3.2849236,2.6903114,2.677052,3.0275393
XBP1,0.0,0.0,2.3728392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPD1,0.0,0.0,0.0,2.7229226,0.0,1.8697957,2.5764725,0.0,0.0,0.0,0.0,2.299441
RAN,0.0,1.9861386,0.0,2.4209378,0.0,2.6417553,2.8945055,0.0,0.0,0.0,1.866786,2.511632
SRGN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6072316,0.0,0.0
HMGN1,0.0,2.60472,0.0,2.2203095,0.0,0.0,2.0230935,0.0,0.0,0.0,0.0,0.0
GNG5,0.0,0.0,0.0,1.8154814,0.0,0.0,1.7197176,0.0,0.0,0.0,0.0,0.0
NUCKS1,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPD1,0.0,0.0,0.0,0.0,0.0,0.0,2.1747873,0.0,0.0,0.0,0.0,0.0
RPLP1,3.9342797,4.0263977,3.1612046,4.290685,3.6476192,3.6789575,3.902855,1.4453747,3.671585,3.8494084,4.3826694,3.7513857
RPS5,0.0,3.0904272,1.8457863,2.8332133,0.0,2.6225967,2.8880765,1.208604,0.0,0.0,2.9617522,2.294614
RPSA,0.0,2.8191109,0.0,2.7302628,1.9189725,2.6572092,2.777558,1.208604,0.0,1.7364702,2.8036144,2.9085948
NDUFS5,0.0,0.0,0.0,2.0468006,0.0,2.0060604,2.5792837,0.0,0.0,0.0,0.0,0.0
VPREB3,0.0,2.9047399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCNA,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3-3B,2.1304195,2.738456,0.0,2.4937835,2.526327,0.0,1.7129786,0.0,1.8368993,0.0,0.0,2.7444491
LGALS1,3.0676718,0.0,0.0,0.0,2.2373211,0.0,0.0,0.0,2.4470394,0.0,0.0,0.0
PSMA4,0.0,0.0,0.0,2.083477,0.0,0.0,2.146267,0.0,0.0,0.0,0.0,0.0
ENSG00000269893,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPX1,0.0,0.0,0.0,1.812902,0.0,0.0,0.0,0.0,2.848401,0.0,0.0,0.0
PSMB6,0.0,0.0,0.0,0.0,0.0,0.0,1.4655683,0.0,0.0,0.0,0.0,0.0
ATP5MG,2.8257155,2.869471,2.2614546,2.4937835,3.0715876,2.4511526,2.6090791,3.0603843,0.0,1.7942638,2.7505999,2.9731224
CFL1,3.095444,3.1644533,0.0,2.7229226,3.371748,1.9558327,2.546684,2.511108,3.2414207,2.9053237,2.5860689,3.2518675
ZFAS1,0.0,0.0,0.0,1.7088923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTG1,2.9713638,3.2745118,0.0,2.678863,3.0715876,0.0,0.0,0.0,3.1067939,3.1204574,2.7081292,3.322802
ATP5MF,0.0,1.7974663,0.0,2.423746,2.37902,2.5087752,2.65068,0.0,0.0,0.0,1.9540412,2.5210495
HBA2,0.0,0.0,0.0,0.0,0.0,5.585396,0.0,0.0,0.0,0.0,0.0,0.0
TMA7,1.9406147,2.2413754,0.0,1.8285189,2.288222,2.3810222,2.683615,0.0,0.0,0.0,2.456276,2.7444491
SNRPD2,0.0,2.549583,0.0,2.4611359,1.9189725,2.0311067,2.4829838,0.0,0.0,0.0,2.5832381,2.5620005
HLA-DRA,3.0994813,2.932282,0.0,2.3510587,4.621079,0.0,0.0,4.3596897,3.1303434,0.0,2.250645,0.0
CHCHD2,0.0,0.8077729,0.0,2.083477,0.0,1.7673898,2.231363,0.0,0.0,0.0,0.0,0.0
RPL36,3.1451097,3.1743555,2.6663175,3.6958973,3.1731791,3.355591,3.663735,0.0,2.4470394,3.093432,3.84405,3.3663309
EEF1A1,3.0579545,3.1493726,2.2926936,3.382677,3.0247393,2.9004393,3.234365,0.0,2.7977884,3.0464292,3.3993185,2.8302066
CD3D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7836804
RPS21,2.8732533,3.147241,2.1350265,3.2437847,3.085428,3.1543713,3.2779388,1.4787081,2.176171,2.6941612,3.3024116,2.8151133
RPL28,2.9574163,3.2638245,1.977241,2.8576398,2.8109076,2.4411566,2.5364447,2.9777474,3.0959477,2.9891067,3.02102,2.8272102
PSME2,0.0,0.0,0.0,1.7088923,2.529509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX7C,2.7862883,3.0409603,0.0,3.1137543,2.7977884,2.7749357,3.1268625,2.511108,2.6253614,2.3099985,2.914763,2.7189443
UQCRH,0.0,0.0,0.0,1.7088923,2.2284007,2.2375708,2.6915927,1.208604,0.0,0.0,2.2170467,1.3872702
TXN,0.0,0.0,0.0,2.678863,0.0,2.4529662,2.905557,0.0,0.0,2.007872,2.8610039,0.0
ATP5IF1,0.0,0.0,0.0,1.5480586,0.0,2.928267,3.0755208,0.0,0.0,0.0,0.0,2.0896583
TMEM14B,0.0,0.0,0.0,0.0,0.0,2.1727161,1.6471176,0.0,0.0,0.0,0.0,0.0
CD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
AP1S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8368993,0.0,0.0,0.0
ATP5PF,1.5739257,2.7163382,0.0,2.083477,2.1549854,2.2356415,2.7721202,0.0,0.0,0.0,2.532992,2.6249654
ENSG00000245910,0.0,2.3422704,0.0,1.8001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX6A1,0.0,0.0,0.0,0.0,0.0,0.0,1.8684044,0.0,0.0,0.0,0.0,0.0
IFI27,0.0,0.0,0.0,0.0,0.0,2.6275437,0.0,0.0,0.0,0.0,0.0,0.0
RPL18A,3.0696275,2.963059,2.208303,3.5221963,3.1096535,2.9001698,3.119423,1.3025038,3.003556,2.4384074,3.577462,3.1137543
ATP6V1F,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DMA,0.0,0.0,0.0,0.0,2.2284007,0.0,0.0,2.7812119,0.0,0.0,0.0,0.0
ATP5PD,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPB2,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMBS,0.0,0.0,0.0,0.0,0.0,2.4653127,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MC2,0.0,0.0,0.0,2.0468006,0.0,0.0,1.8612592,0.0,0.0,0.0,0.0,0.0
RPL5,3.023808,3.512528,2.2459698,3.5471845,3.1842077,3.1825452,3.5736659,2.9733863,3.1020138,3.0696275,3.6546235,3.2812192
RPL3,3.0053785,3.6282167,2.8309603,3.896219,3.2021327,3.1976187,3.6138527,3.6863382,3.1067939,3.0053785,3.8474112,3.2414207
LCP1,0.0,0.0,0.0,0.0,2.2284007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL32,3.5264575,3.8296304,2.7837958,3.7306345,3.6171656,3.4918644,3.792878,3.019885,3.1035366,3.3279712,4.0918818,3.6092653
PKM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5866365,0.0,0.0,0.0
APOC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511108,0.0,0.0,0.0,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9429579,0.0,0.0,0.0,0.0
RPL13,3.2181082,3.8296304,2.8035965,3.4780712,3.2629168,3.10062,3.2665484,3.1651797,3.1961188,3.1579585,3.63631,3.2079692
RHOA,0.0,0.0,0.0,2.3071427,0.0,0.0,0.0,0.0,2.176171,0.0,0.0,0.0
S100A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,3.7419584,0.0,0.0,0.0
RPL10A,0.0,2.8345513,0.0,2.8190215,2.3741465,2.260063,2.6663167,2.9240828,0.0,0.0,2.864243,2.299441
IFITM2,0.0,0.0,0.0,1.7088923,0.0,0.0,0.0,0.0,2.8292067,0.0,0.0,1.7018903
SSR4,0.0,0.0,3.8379188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A4,3.423402,0.0,0.0,1.8154814,2.7123542,2.3472013,2.8055394,0.0,3.512152,0.0,0.0,2.5742302
ATP5MJ,2.4739776,0.0,0.0,2.3510587,0.0,2.122939,2.6026897,0.0,1.8368993,0.0,2.1548574,1.7018903
PTMA,2.9419792,4.3145933,0.0,3.7844338,3.4086866,2.9240205,3.653829,1.208604,3.003556,2.7777603,3.2959619,3.1247804
DERL3,0.0,0.0,2.6663246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEM1,0.0,0.0,0.0,2.3071427,0.0,0.0,1.8364558,0.0,0.0,0.0,0.0,0.0
COX7A2,0.0,0.0,0.0,1.8888366,0.0,2.297024,2.5158048,0.0,2.193441,0.0,2.2210445,2.665072
EIF2S2,0.0,0.0,0.0,1.8888366,0.0,2.0328355,1.3457091,0.0,0.0,0.0,0.0,0.0
NDUFA1,0.0,0.0,0.0,0.0,0.0,0.0,1.8917,2.9705815,0.0,0.0,0.0,0.0
HNRNPK,0.0,0.0,0.0,2.1803377,0.0,0.0,1.6578639,0.0,0.0,0.0,0.0,0.0
RPL37A,3.0676718,3.270452,2.4681096,3.5011737,3.0715876,3.1982625,3.5083287,2.8285906,0.0,2.9696085,3.6527925,3.038353
SON,0.0,0.0,0.0,1.8285189,2.5137157,0.0,1.6493213,0.0,2.193441,0.0,0.0,1.1762375
PLAC8,0.0,0.0,0.0,1.8285189,0.0,0.0,0.0,0.0,0.0,0.0,2.2693472,0.0
RPS6,3.7823346,4.1292467,3.012752,4.3524733,3.753418,3.8804133,4.165501,0.0,3.003556,3.532886,4.489534,3.8035388
CD36,0.0,0.0,0.0,0.0,0.0,1.5995986,0.0,0.0,0.0,0.0,0.0,0.0
ANXA1,2.3290167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7977884,2.5391273,0.0,0.0
SEC11C,0.0,0.0,2.719203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTF3,2.6202278,2.9557028,0.0,2.949236,2.7977884,2.6875844,3.0363057,1.208604,0.0,2.0168555,3.047862,2.9801917
HBM,0.0,0.0,0.0,0.0,0.0,3.5354438,0.0,0.0,0.0,0.0,0.0,0.0
MS4A6A,2.120029,0.0,0.0,0.0,0.0,0.0,0.0,3.1582634,0.0,0.0,0.0,0.0
RPS2,2.5402029,3.095553,0.0,3.0099509,2.5889115,2.8072443,2.9352024,0.0,0.0,2.6725674,3.100157,2.5210495
CD59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
IFITM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4081202,2.879576,0.0,0.0,0.0
RBIS,0.0,0.0,0.0,1.5480586,0.0,0.0,1.4960011,0.0,0.0,0.0,0.0,0.0
ACTB,0.0,2.6623266,0.0,0.0,0.0,0.0,0.0,0.0,3.6512673,0.0,0.0,2.413186
SRP9,0.0,0.0,0.0,2.3071427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0584595,0.0,2.4582,0.0,0.0
LARP7,0.0,0.0,0.0,1.8001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DRB1,2.9626215,0.0,0.0,2.19085,4.20968,0.0,0.0,4.1760044,2.7963428,0.0,0.0,0.0
RPS12,3.003556,3.193519,0.91011727,3.204398,2.8453426,3.2080922,3.304933,2.9714615,0.0,3.0047708,3.5595996,3.1493726
PABPC1,2.4759707,2.1992378,0.0,2.7229226,2.5832353,1.6365395,2.0023108,0.0,2.658628,2.119384,2.2399564,0.0
SCARNA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
GLUL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
ROMO1,0.0,0.0,0.0,0.0,0.0,0.0,1.4074361,0.0,0.0,0.0,0.0,0.0
HSPA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
SKP1,0.0,0.0,0.0,2.19085,0.0,1.59849,2.2181168,0.0,0.0,0.0,0.0,0.0
ANXA2,2.964363,0.0,0.0,0.0,2.7977884,0.0,0.0,0.0,0.0,0.0,0.0,1.7018903
FCGRT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.019885,0.0,0.0,0.0,0.0
ENSG00000211896,0.0,0.0,5.9942565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBX1,0.0,0.0,0.0,0.0,0.0,2.4242153,2.2369475,0.0,0.0,0.0,0.0,0.0
ARHGDIB,3.1451097,3.233811,0.0,2.3701801,3.0247393,0.0,0.0,1.4453747,3.2461548,3.2273626,2.8648925,3.5673728
CYCS,0.0,0.0,0.0,1.8888366,0.0,0.0,2.1271577,0.0,0.0,0.0,0.0,0.0
MPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,2.784861,0.0,0.0
NPC2,0.0,0.0,2.1744418,0.0,0.0,0.0,0.0,2.6873121,2.848401,0.0,0.0,0.0
MRPS21,0.0,0.0,0.0,0.0,0.0,0.0,1.6523842,0.0,0.0,0.0,0.0,0.0
GYPA,0.0,0.0,0.0,0.0,0.0,2.6941621,0.0,0.0,0.0,0.0,0.0,0.0
UQCRB,0.0,0.0,0.0,0.0,0.0,1.700619,2.068839,2.7004776,0.0,0.0,0.0,1.4792906
RPS26,3.072242,2.9206362,2.3516414,3.7246935,3.0502548,3.3656561,3.8366969,1.3025038,2.0622213,2.9909003,3.5516157,3.3740141
ENSG00000257698,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFB6,0.0,0.0,0.0,0.0,0.0,0.0,1.8840891,0.0,0.0,0.0,0.0,0.0
COX4I1,2.62141,1.9894133,0.0,2.3510587,0.0,2.0664263,2.3649213,1.208604,0.0,0.0,2.4885693,2.0515127
RPL11,3.2485309,3.670205,2.5327039,3.5011737,3.2629168,3.0814543,3.2890568,3.9342797,3.2799878,3.199873,3.674974,3.1536555
PSMB1,0.0,0.0,0.0,0.0,0.0,1.810125,2.181034,0.0,0.0,0.0,0.0,0.0
MACROH2A1,0.0,0.0,0.0,1.8888366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TPM3,0.0,0.0,0.0,1.8001418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTTG1,0.0,0.0,0.0,0.0,0.0,2.0495949,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MK,0.0,1.8015202,0.0,1.7088923,0.0,1.6621821,2.326511,0.0,0.0,0.0,0.0,1.8035223
NDUFA4,2.218847,2.791903,0.0,2.3071427,0.0,2.319046,2.6601107,0.0,0.0,0.0,2.5792856,2.133695
TMEM258,0.0,0.0,2.831714,2.0468006,0.0,0.0,1.9534912,2.6539788,0.0,0.0,2.096205,2.3010566
HLA-DMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
RPL29,2.120029,0.0,0.0,3.068649,2.288222,2.6561005,2.926524,1.208604,2.4470394,0.0,2.9028788,2.665072
GMFG,2.951668,0.0,0.0,2.4809742,2.529509,0.0,0.0,0.0,2.848401,2.5664275,2.7064672,2.6249654
RPS16,3.1536555,3.824347,2.6370656,3.4861474,3.1731791,3.2032645,3.4788322,3.4423735,3.1797805,2.9020646,3.4998813,3.4269972
RPS14,4.165501,3.865942,3.4000142,4.6003804,4.2088633,4.002803,4.3221364,3.3444943,3.6359878,3.9680378,4.7610693,4.022214
AHSP,0.0,0.0,0.0,0.0,0.0,4.5507665,3.2605035,0.0,0.0,0.0,0.0,0.0
ENSG00000211772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7242467
HERPUD1,0.0,0.0,2.856179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPC2,0.0,0.0,0.0,0.0,0.0,1.7424686,1.9125514,0.0,0.0,0.0,0.0,0.0
FTH1,0.0,0.0,0.0,2.19085,3.0755208,4.1309547,3.8042536,3.8342814,3.9196482,0.0,0.0,0.0
NAP1L1,0.0,1.9132891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLRX,0.0,0.0,0.0,0.0,0.0,0.0,1.6578639,0.0,0.0,0.0,0.0,0.0
ARPC2,2.9053237,2.2349277,0.0,2.673195,2.7123542,0.0,0.0,1.3025038,3.0637722,2.254699,2.245824,3.1633656
YBX1,0.0,0.0,0.0,0.0,0.0,0.0,1.6078398,0.0,0.0,0.0,0.0,0.0
RPL36A,2.635721,3.046255,0.0,3.1313903,2.9505227,2.579854,2.7581758,0.0,2.658628,2.451389,3.0072064,1.7863631
LST1,2.2284007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.176171,0.0,0.0,0.0
NDUFA6,0.0,0.0,0.0,0.0,0.0,1.6280963,1.6459341,0.0,0.0,0.0,0.0,0.0
COX6B1,0.0,2.062933,0.0,1.5480586,2.2373211,1.905942,2.3416612,1.4453747,2.0622213,0.0,2.353242,2.5210495
HSP90B1,0.0,0.0,2.743775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFA12,0.0,0.0,0.0,1.8154814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYNGR1,0.0,0.0,0.0,0.0,0.0,0.0,1.717089,0.0,0.0,0.0,0.0,0.0
HLA-C,0.0,0.0,2.4394221,2.0468006,2.2455857,0.0,0.0,2.9240828,2.6896715,0.0,0.0,1.9545308
NME1,0.0,0.0,0.0,0.0,0.0,0.0,1.6728129,0.0,0.0,0.0,0.0,0.0
HBD,0.0,0.0,0.0,0.0,0.0,4.8727746,2.364048,0.0,0.0,0.0,0.0,0.0
RPS18,3.973568,3.9439502,3.3395052,4.607852,4.044362,4.0125437,4.3346887,2.7943773,3.3240917,3.4481254,4.7996254,4.088191
HNRNPC,0.0,2.3288949,0.0,2.1803377,0.0,0.0,2.2592943,0.0,0.0,0.0,0.0,2.5572305
RPL21,4.223391,3.9416814,3.3318899,4.358764,4.340652,4.3674545,4.419298,3.63867,3.1797805,3.8064017,4.614609,4.2817206
RPL37,3.1015067,3.085741,2.208303,3.5011737,3.0182397,2.971584,3.3521261,2.9240828,3.0657198,3.0464292,3.574933,3.228526
RPL7A,2.424215,2.9918094,2.1979146,3.095444,2.5653186,2.8689346,3.1479495,3.0067198,1.6620028,2.5642111,3.144844,2.8123772
POLR2L,0.0,0.0,0.0,2.1838264,0.0,2.088419,2.3292956,0.0,0.0,0.0,0.0,0.0
MS4A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713668,0.0,0.0
RBMX,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NHP2,0.0,0.0,0.0,0.0,0.0,0.0,1.7422743,0.0,0.0,0.0,0.0,0.0
CD163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.208604,0.0,0.0,0.0,0.0
RPL22,0.0,2.0186186,0.0,2.423746,1.7700114,2.1551542,2.5434372,0.0,0.0,0.0,2.6980317,2.0896583
SAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1563387,0.0,0.0,0.0,0.0
RPLP2,3.1698964,3.7140534,2.4760861,3.3305666,3.003556,3.1619205,3.337087,3.2574964,3.3240917,3.2213366,3.3807554,3.1429856
MZB1,0.0,0.0,3.646408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS15A,3.0426197,3.754469,2.533771,3.382677,3.0874224,3.0874224,3.2262008,3.1221251,3.2461548,3.0696275,3.522465,3.1493726
GYPC,0.0,0.0,0.0,0.0,0.0,2.5118923,1.7603784,0.0,0.0,0.0,0.0,0.0
ALAS2,0.0,0.0,0.0,0.0,0.0,2.306736,0.0,0.0,0.0,0.0,0.0,0.0
HEXA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
HLA-DQB1,0.0,0.0,0.0,0.0,2.866975,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
LSM3,0.0,0.0,0.0,0.0,0.0,1.9954374,2.2478545,0.0,0.0,0.0,0.0,0.0
EIF3M,0.0,0.0,0.0,1.5480586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LDHB,0.0,2.8166852,0.0,2.8332133,0.0,1.741498,3.110677,0.0,0.0,0.0,2.960883,2.9539628
RPS11,3.1429856,3.3582792,2.7264743,3.2854185,3.085428,2.999922,3.2418144,3.0603843,3.1324384,3.0579545,3.4900236,3.1709895
RPS4X,2.9891067,3.5137196,2.5316377,3.3902657,2.9855301,2.8626842,3.2359283,1.4918735,3.023808,3.1387522,3.5696058,2.9539628
TGFBI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511108,0.0,0.0,0.0,0.0
RPS19,3.9667664,4.192154,3.1858735,4.4057074,3.8609746,3.8252237,3.9989529,3.6521819,3.2461548,3.6494415,4.4447103,3.7992601
GTF3C6,0.0,0.0,0.0,0.0,0.0,0.0,1.4694216,0.0,0.0,0.0,0.0,0.0
AIF1,2.8499343,0.0,0.0,2.4809742,2.7977884,0.0,0.0,3.1626244,2.848401,0.0,2.2015567,0.0
HLA-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0584595,0.0,0.0,0.0,0.0
CST7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9209595,0.0,0.0
RPL4,0.0,2.7538443,0.0,2.7963428,0.0,2.7090778,2.9402802,0.0,0.0,0.0,2.8530138,2.7686133
CCL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
RPS8,3.0794706,3.6428971,2.3768024,3.4965076,3.0445225,3.0676718,3.298006,2.9705815,2.4470394,3.126168,3.5651584,2.9855301
TXNIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9705815,0.0,0.0,0.0,0.0
GPX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025038,0.0,0.0,0.0,0.0
