,AT1,AT2,Artery,B Cells,Basophil and Mast Cells,Capillary,Ciliated Cells,Lymphatic  Cells,Macrophage and Dendritic Cells,Macrophages,Monocytes,Natural Killer Cells,Neutrophils,Other Epithelial Cells,Proliferating Macrophage,Stromal Cells,T Cells,Vein
ENSG00000097021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000171735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.972199559211731,0.0,0.0,0.0
ENSG00000049245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9529454708099365,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000116288,0.0,0.7846980235155891,0.0,0.0,0.0,0.0,0.8139961011269513,0.0,0.0,0.7856423995074104,0.0,0.0,0.0,0.7647058823529411,0.8059106644462136,0.0,0.0,0.0
ENSG00000116285,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000074800,0.6558039574062123,0.7095021956107196,0.0,0.0,0.0,0.0,0.6098757561515359,0.0,0.6508008977946114,0.6591693338225869,0.6961607512305764,0.0,0.0,0.5882352941176471,0.7193893089013941,0.0,0.0,0.0
ENSG00000178585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000142657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115887669955983,0.9199967138907489,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0
ENSG00000175279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000120948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000116670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000177674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9616714751019197,0.0,0.0,0.0
ENSG00000116685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000028137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000116731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000142621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8235294117647058,0.8406264010597678,0.8831427342751447,0.8989745273309595,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9447120042408214,0.0,0.0,0.0
ENSG00000055070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000157191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9496035751174478,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000179051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000127481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000053371,0.0,0.0,0.0,0.0,0.0,0.0,0.9577651058926302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000077549,0.0,0.7647058823529411,0.0,0.0,0.0,0.0,0.0,0.0,0.7692562692305621,0.8182937432737911,0.8596506118774414,0.0,0.0,0.0,0.7945106520372278,0.0,0.0,0.0
ENSG00000173436,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8379655234953937,0.0,0.0,0.8476581538424772,0.0,0.0,0.0,0.0,0.851863352691426,0.0,0.0,0.0
ENSG00000162543,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000244038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9612132661482867,0.0,0.0,0.0
ENSG00000127483,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.894707087208243,0.0,0.0,0.0,0.0,0.9473741966135362,0.0,0.0,0.0
ENSG00000162551,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000142798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000070831,0.49357860228594613,0.49809495491140027,0.0,0.0,0.0,0.0,0.559966760523179,0.0,0.5396435436080483,0.596780331695781,0.620359322604011,0.619811731226304,0.0,0.47058823529411764,0.5205525966251597,0.0,0.5198926154304954,0.0
ENSG00000173372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9499672616229338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.956818303641151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9524748711025014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000125944,0.0,0.8064295614466948,0.0,0.0,0.0,0.0,0.808466350331026,0.0,0.0,0.8150051797137541,0.0,0.0,0.0,0.7647058823529411,0.8847830540993634,0.0,0.0,0.0
ENSG00000204219,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000142676,0.05940365090089686,0.1504051685333252,0.09319318042081945,0.16281870182822733,0.26626167577855725,0.058823529411764705,0.08255556050468893,0.08528971321442548,0.11382276170394,0.13135173040277817,0.1274568193099078,0.13431756636675665,0.0,0.1127775416654699,0.10698734662112068,0.09877941187690287,0.21068438011057236,0.09975795184864718
ENSG00000011007,0.0,0.9710942927528831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000057757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000179163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189266,0.0,0.9103811979293823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.9197362626300138,0.0,0.0,0.0
ENSG00000188529,0.0,0.847722705672769,0.0,0.0,0.0,0.0,0.8899149894714355,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8687681064886206,0.0,0.0,0.0
ENSG00000117602,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133226,0.0,0.6394870035788592,0.0,0.0,0.0,0.0,0.6641802402103648,0.0,0.5949400593252743,0.6591162891948924,0.5882352941176471,0.7304081040270188,0.0,0.6077749238294714,0.6885625930393443,0.0,0.0,0.0
ENSG00000169504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000020633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117614,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8542347550392151,0.0,0.0,0.8787635424557854,0.0,0.0,0.0,0.0,0.8668781939674827,0.0,0.0,0.0
ENSG00000117616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183726,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922392750487608,0.0,0.0,0.0,0.0,0.8989311842357411,0.0,0.0,0.0
ENSG00000162430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000117632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9825300118502449,0.0,0.0,0.0
ENSG00000142684,0.0,0.9779269484912648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000142669,0.0,0.4725065687123467,0.0,0.0,0.6094957975780263,0.0,0.47058823529411764,0.0,0.6250184248475468,0.6443148641025319,0.6900996215203229,0.6142758481642779,0.626840097062728,0.0,0.4897722847321454,0.0,0.5969031768686631,0.0
ENSG00000158062,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169442,0.0,0.0,0.0,0.0,0.8988264764056486,0.0,0.0,0.0,0.0,0.9307041694136227,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0
ENSG00000198830,0.0,0.768511993043563,0.0,0.0,0.0,0.0,0.8195720840902889,0.0,0.7385856404024012,0.7981169153662289,0.0,0.0,0.0,0.7058823529411765,0.9001278596765855,0.0,0.0,0.0
ENSG00000117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000117713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9660174145418055,0.0,0.0,0.0
ENSG00000175793,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000090273,0.0,0.834759393159081,0.0,0.0,0.0,0.0,0.9516106598517474,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8621478887165294,0.0,0.0,0.0
ENSG00000142765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142748,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174950,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158195,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.732382216874291,0.0,0.7250876041019664,0.7851613619748283,0.8009141262839822,0.0,0.0,0.0,0.7245203747468836,0.0,0.0,0.0
ENSG00000000938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.9712101571700152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117758,0.0,0.8872590520802666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9083093124277452,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0
ENSG00000130775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000169403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126698,0.0,0.8243838548660278,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.8429469922009636,0.0,0.0,0.0,0.0,0.8587351301137138,0.0,0.0,0.0
ENSG00000130770,0.0,0.8113889378659865,0.0,0.0,0.0,0.0,0.9173643904573777,0.0,0.0,0.7908452538882985,0.0,0.0,0.0,0.7647058823529411,0.8263146351365482,0.0,0.0,0.0
ENSG00000204138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000180098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000198492,0.0,0.9165974574930528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.8965874980477726,0.0,0.0,0.0
ENSG00000116350,0.0,0.8992736970677095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.9156136617941015,0.0,0.0,0.0
ENSG00000162511,0.0,0.0,0.0,0.0,0.8235294117647058,0.0,0.0,0.0,0.8506202347138349,0.8535817791433895,0.8535866912673501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134644,0.0,0.9063513910069185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.9109834572848152,0.0,0.0,0.0
ENSG00000121766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000162517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000184007,0.0,0.7878306473002714,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.7370701782843646,0.8120949478710399,0.0,0.0,0.7197154865545385,0.7818319692331201,0.0,0.0,0.0
ENSG00000121774,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8397622248705696,0.0,0.0,0.8298816926339093,0.0,0.0,0.0,0.0,0.8941132706754348,0.0,0.0,0.0
ENSG00000025800,0.0,0.9474784451372483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000084652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000222046,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084623,0.0,0.8838137528475594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.8991001178236568,0.0,0.0,0.0
ENSG00000176261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9508949307834401,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000162521,0.0,0.8906029182321885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.9187637322089252,0.0,0.0,0.0
ENSG00000004455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000134686,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9616114251753863,0.0,0.0,0.0,0.8861635888324064,0.0,0.0,0.0
ENSG00000116560,0.0,0.7900736717616811,0.0,0.0,0.0,0.0,0.7408488357768339,0.0,0.0,0.7178200693691478,0.7700029786895303,0.0,0.0,0.7058823529411765,0.7545367374139673,0.0,0.0,0.0
ENSG00000142687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000126067,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8885888176805833,0.0,0.0,0.0,0.0,0.9125533068881315,0.0,0.0,0.0
ENSG00000092853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000092850,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.9462249629637774,0.0,0.0,0.0
ENSG00000116871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9470826177036061,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000054118,0.0,0.8235294117647058,0.0,0.0,0.0,0.0,0.8330074478598202,0.0,0.0,0.8333336991422317,0.0,0.0,0.0,0.0,0.8776033696006326,0.0,0.0,0.0
ENSG00000181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116898,0.0,0.8899454404326046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.8974699483198278,0.0,0.0,0.0
ENSG00000119535,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9025660157203674,0.0,0.9635915370548472,0.0,0.0,0.0,0.0,0.0
ENSG00000163875,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.9458761250271517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8866100591771743,0.0,0.0,0.0
ENSG00000163879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000134690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000197982,0.0,0.948007699321298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.0,0.0
ENSG00000183431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000183520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000116954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000214114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000168653,0.0,0.7231817596098956,0.0,0.0,0.0,0.0,0.7487333206569448,0.0,0.6739667443668141,0.7814477156190311,0.6738842234892004,0.0,0.0,0.6470588235294118,0.7563962129985585,0.0,0.0,0.0
ENSG00000127603,0.0,0.7853246261091793,0.0,0.0,0.0,0.8640356449519887,0.7474951673956478,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.7431541541043449,0.0,0.0,0.7699632118729984
ENSG00000090621,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8961142091190114,0.0,0.0,0.0,0.0,0.9091665885027718,0.0,0.0,0.0
ENSG00000168389,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131236,0.0,0.6470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.7016808425678926,0.7221789675600389,0.7588719550301047,0.6949204311651342,0.8273706260849448,0.0,0.6679328960530898,0.0,0.0,0.0
ENSG00000131238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9171398737851311,0.929640019641203,0.0,0.0,0.0,0.0,0.8823529411764706,0.0,0.0,0.0
ENSG00000084070,0.0,0.0,0.0,0.6228166082326103,0.0,0.0,0.5799103835049797,0.0,0.5665093520108391,0.5702123466659995,0.7499891975346733,0.7043975661782658,0.816738090094398,0.0,0.5294117647058824,0.0,0.7080966023837819,0.0
ENSG00000127125,0.0,0.8823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9091866577372831,0.0,0.0,0.0,0.0,0.9086464818786172,0.0,0.0,0.0
ENSG00000186409,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000065978,0.295273012974683,0.3344273426953484,0.0,0.23529411764705882,0.3487858491785386,0.0,0.2712584102855009,0.3446813155623043,0.5168162969981923,0.5136563707800472,0.3608024330700145,0.3188355319640216,0.0,0.257776933557847,0.4601146859281203,0.0,0.31470199192271514,0.31900638341903687
ENSG00000186973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000243710,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
